numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07280;20200320090000;102150;50;1;20;1.300000;283.950000;282.250000;89;19700;0;mq;mq;100;8;2700;mq;mq;mq;99420;mq;mq;-350;mq;mq;mq;mq;282.650000;mq;mq;1.800000;2.100000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;8;mq;2700;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07299;20200320090000;102170;50;1;30;0.700000;286.150000;281.450000;73;10500;0;mq;mq;mq;1;450;mq;mq;mq;98920;mq;mq;-350;mq;mq;mq;mq;279.050000;mq;mq;2.400000;2.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;390;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07314;20200320090000;101830;80;2;110;4.900000;287.050000;280.750000;66;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;101550;mq;mq;-350;mq;mq;mq;mq;mq;mq;mq;7.700000;7.800000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07335;20200320090000;101960;90;1;110;3.200000;289.050000;277.750000;47;58790;0;mq;mq;mq;2;2250;mq;mq;mq;100530;mq;mq;-280;mq;mq;mq;mq;281.550000;mq;mq;5.500000;5.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;mq;2340;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07434;20200320090000;101930;50;2;100;3.900000;288.150000;272.750000;35;42800;0;mq;mq;mq;0;mq;mq;mq;mq;97210;mq;mq;-320;mq;mq;mq;mq;280.150000;mq;mq;6.600000;6.600000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07460;20200320090000;102050;40;0;190;2.600000;287.550000;278.350000;54;39540;0;mq;mq;mq;0;mq;mq;mq;mq;98200;mq;mq;-280;mq;mq;mq;mq;278.250000;mq;mq;3.700000;5.300000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07471;20200320090000;mq;40;0;90;0.900000;283.350000;274.950000;56;20000;0;mq;mq;mq;0;mq;mq;mq;mq;92450;mq;828;-310;mq;mq;mq;mq;272.350000;mq;mq;2.500000;2.500000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07481;20200320090000;102120;50;1;170;1.400000;287.250000;278.050000;54;20000;1;0;0;25;2;3000;30;28;10;99270;mq;mq;-330;mq;mq;mq;mq;mq;mq;mq;2.700000;3.500000;-10;0;0.000000;0.000000;-30;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;2;3;3000;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07510;20200320090000;101770;40;0;110;4.400000;286.850000;277.150000;52;31410;0;mq;mq;mq;0;mq;mq;mq;mq;101190;mq;mq;-430;mq;mq;mq;mq;280.350000;mq;mq;7.000000;7.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07535;20200320090000;101860;60;1;110;6.200000;288.050000;274.550000;40;20000;0;mq;mq;mq;0;mq;mq;mq;mq;98770;mq;mq;-410;mq;mq;mq;mq;280.650000;mq;mq;10.700000;12.400000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
