Date;Indice de Lille;Dioxyde de soufre (SO2);Dioxyde d'azote (NO2);Ozone (O3);Poussieres PM10
21/01/2012;3;1;1;3;3
20/01/2012;3;1;2;3;3
19/01/2012;3;1;3;3;2
18/01/2012;7;1;3;1;7
17/01/2012;7;1;4;1;7
16/01/2012;6;1;3;1;6
15/01/2012;6;1;3;2;6
14/01/2012;5;1;4;3;5
13/01/2012;4;1;3;2;4
12/01/2012;4;1;2;2;4
11/01/2012;3;1;3;2;3
10/01/2012;4;1;2;2;4
09/01/2012;4;1;2;2;4
08/01/2012;3;1;2;2;3
07/01/2012;3;1;2;3;3
06/01/2012;4;1;3;3;4
05/01/2012;3;1;1;3;3
04/01/2012;3;1;2;3;3
03/01/2012;3;1;1;3;2
02/01/2012;3;1;2;3;2
01/01/2012;3;1;1;3;1
